date,close,high,low,ma10,ma20,ma5,open,p_change,price_change,turnover,v_ma10,v_ma20,v_ma5,volume
2015-04-07,11.29,11.8,11.02,11.29,11.29,11.29,11.8,-0.44,-0.05,18.55,830892.5,830892.5,830892.5,830892.5
2015-04-08,11.08,11.48,10.8,11.185,11.185,11.185,11.22,-1.86,-0.21,11.96,683327.38,683327.38,683327.38,535762.25
2015-04-09,10.73,11.1,10.37,11.033,11.033,11.033,11.08,-3.16,-0.35,9.1,591366.25,591366.25,591366.25,407444.0
2015-04-10,10.89,10.96,10.59,10.998,10.998,10.998,10.73,1.49,0.16,7.38,526104.35,526104.35,526104.35,330318.66
2015-04-13,11.07,11.24,10.72,11.012,11.012,11.012,10.83,1.65,0.18,8.58,497705.46,497705.46,497705.46,384109.88
2015-04-14,11.24,11.27,10.75,11.05,11.05,11.002,11.04,1.54,0.17,7.97,474208.5,474208.5,402871.7,356723.72
2015-04-15,10.59,11.33,10.58,10.984,10.984,10.904,11.26,-5.78,-0.65,6.27,446548.66,446548.66,351837.17,280589.59
2015-04-16,10.81,11.0,10.23,10.963,10.963,10.92,10.36,2.08,0.22,6.36,426325.3,426325.3,327300.73,284761.81
2015-04-17,10.82,11.18,10.8,10.947,10.947,10.906,10.82,0.09,0.01,6.45,411072.43,411072.43,319046.9,289049.5
2015-04-20,11.32,11.38,10.75,10.984,10.984,10.956,10.82,4.62,0.5,13.38,429890.82,429890.82,362076.17,599256.25
2015-04-21,11.56,11.6,11.02,11.011,11.036,11.02,11.34,2.12,0.24,11.4,397848.77,437216.38,392825.83,510472.0
2015-04-22,11.59,11.7,11.38,11.062,11.083,11.22,11.5,0.26,0.03,9.65,387466.78,436776.88,423096.39,431942.38
2015-04-23,11.27,11.59,11.2,11.116,11.097,11.312,11.59,-2.76,-0.32,8.55,385025.53,432642.62,442750.33,383031.5
2015-04-24,11.45,11.55,10.84,11.172,11.122,11.438,11.05,1.6,0.18,7.95,387597.03,427170.55,456147.15,356033.62
2015-04-27,11.47,11.84,11.32,11.212,11.145,11.468,11.46,0.17,0.02,7.74,383849.3,421801.35,405622.42,346632.59
2015-04-28,10.95,11.47,10.9,11.183,11.133,11.346,11.45,-4.53,-0.52,5.24,371663.05,410117.6,350500.28,234861.3
2015-04-29,10.91,11.08,10.71,11.215,11.12,11.21,10.77,-0.36,-0.04,4.04,361679.45,396625.6,300262.52,180753.58
2015-04-30,10.85,11.13,10.84,11.219,11.105,11.126,10.98,-0.55,-0.06,3.58,349227.22,383493.03,255704.11,160239.47
2015-05-04,11.24,11.35,10.8,11.261,11.112,11.084,10.85,3.59,0.39,5.66,345660.56,376645.13,235173.96,253382.88
2015-05-05,10.55,11.19,10.5,11.184,11.084,10.9,11.19,-6.14,-0.69,4.79,307165.32,368528.07,208708.22,214303.88
2015-05-06,10.16,10.75,10.01,11.044,11.028,10.742,10.54,-3.7,-0.39,3.98,273948.99,335898.88,197397.69,178308.66
2015-05-07,9.8,10.16,9.69,10.865,10.964,10.52,10.15,-3.54,-0.36,3.79,247705.14,317585.96,195147.77,169503.95
2015-05-08,10.07,10.08,9.83,10.745,10.931,10.364,9.86,2.75,0.27,2.55,220810.55,302918.04,185917.0,114085.61
